ClinicalCode	Description	FrequencyInData
TRCA5464	Trazodone Hydrochloride  Capsules  100 mg	990
TRLI2901	Trazodone Hydrochloride  Oral Solution, Sugar Free  50 mg/5 ml	101
TRSY2927	Trifluoperazine  Oral Solution, Sugar Free  1 mg/5 ml	12
TRTA2928	Trifluoperazine  Tablets  1 mg	20
TRTA5465	Trazodone Hydrochloride  Tablets  150 mg	52
VAE/12513NEMIS	Valproic Acid (As Semisodium Valproate)  E/c tablets  250 mg	213
VAE/12514NEMIS	Valproic Acid (As Semisodium Valproate)  E/c tablets  500 mg	261
VEM/31438EMIS	Venlafaxine  M/R capsules  150 mg	433
VEM/31439EMIS	Venlafaxine  M/R capsules  75 mg	400
VEM/33582NEMIS	Venlafaxine  M/R tablets  75 mg	51
VEM/34459NEMIS	Vensir Xl  M/R capsules  75 mg	2
VEM/34460NEMIS	Vensir Xl  M/R capsules  150 mg	9
VEM/34935NEMIS	Venaxx Xl  M/R capsules  75 mg	65
VEM/34936NEMIS	Venaxx Xl  M/R capsules  150 mg	92
VEM/36232NEMIS	Venlafaxine  M/R tablets  225 mg	7
VEM/36234NEMIS	Venlalic Xl  M/R tablets  225 mg	5
VEM/36235NEMIS	Venlalic Xl  M/R tablets  150 mg	144
VEM/36236NEMIS	Venlalic Xl  M/R tablets  75 mg	25
VEM/48723NEMIS	Venlafaxine  M/R tablets  37.5 mg	20
VEM/86017NEMIS	Venlafaxine  M/R capsules  37.5 mg	3
VETA26284EMIS	Venlafaxine  Tablets  37.5 mg	89
VETA26285EMIS	Venlafaxine  Tablets  75 mg	525
VETA3038	Nozinan  Tablets  25 mg	4
VIM/47268NEMIS	Vimovo  M/R tablets  500 mg + 20 mg	3
VOM/13540NEMIS	Volsaid Retard 75  M/R tablets  75 mg	1
VOTA3066	Voltarol Retard  M/R tablets  100 mg	5
ZOCA20273NEMIS	Zonisamide  Capsules  50 mg	33
ZOCA20274NEMIS	Zonisamide  Capsules  100 mg	80
ZYOR3804NEMIS	Zyprexa Velotab  Orodispersible tablets  10 mg	2
DIOI3453	Diprobase  Ointment  	108
EMOI1059	Emulsifying  Ointment  	88
DICR6758	Diethylamine Salicylate  Cream  10 %	74
BESP4637	Benzydamine Hydrochloride  Spray  Sugar Free 0.15 %	73
EUCR1127	Eurax  Cream  10 %	62
DICR3456	Diprosone  Cream  0.05 %	51
EFCR3499	Efudix  Cream  5 %	51
DITA3460	Dixarit  Tablets  25 micrograms	45
OROR4093	Orabase  Paste  	27
DIOI3455	Diprosalic  Ointment  0.05 % + 3 %	26
BEOI3241	Betnovate-Rd  Ointment  0.025 %	22
EULO1128	Eurax  Lotion  10 %	18
HATA6901	Haloperidol  Tablets  500 micrograms	16
BECR3240	Betnovate-Rd  Cream  0.025 %	14
EUCR1130	Eurax-Hydrocortisone  Cream  	10
ENIN1070	Engerix B  Suspension For Injection  20 micrograms/1 ml vial	9
OTEA2120	Otosporin  Ear-drops  	9
DILO3454	Diprosalic  Scalp application  0.05 % + 2 %	7
OLOI2074	Olive  Oil  bp	7
ORMO2092	Oraldene  Mouth wash  Peppermint, 0.1 %	6
OTEY2123	Otrivine-Antistin  Eye drops  	4
BEOI4642	Betamethasone  Ointment  0.05 % (as dipropionate)	2
ECCR4878	Econazole Nitrate  Cream  1 %	2
BAOI3216	Balneum  Bath oil  84.75 %	1
BESC4643	Betamethasone Scalp application 0.05 %	1
ORPE4097	Ortho-Gynest  Pessaries  500 micrograms	1
EPNA1087	Ephedrine Hydrochloride  Nasal drops  1 %	1
E4CR1018	E45  Cream  	903
ONCA2078	One-Alpha  Capsules  250 nanograms	536
EUCR1123	Eumovate  Cream  0.05 %	146
HACA1338	Haloperidol  Capsules  500 micrograms	145
OIEM2073	Oilatum  Emollient  	137
ONCA2077	One-Alpha  Capsules  1 microgram	133
DISP3427	Difflam  Spray  0.15 %	126
DIOR3426	Difflam  Oral Rinse  0.15 %	116
EUOI1125	Eumovate  Ointment  0.05 %	111
BRTUEGTON7168	Bricanyl  Turbohaler  500 micrograms/dose	395
FLTA8362BRID	Fludrocortisone  Tablets  100 micrograms	387
EADR19043NEMIS	Easyhaler Salbutamol  Dry Powder Inhaler  100 micrograms/actuation	373
EADR19044NEMIS	Easyhaler Salbutamol  Dry Powder Inhaler  200 micrograms/actuation	288
BUDR18593NEMIS	Budesonide And Formoterol  Dry Powder Inhaler  400 micrograms + 12 micrograms/actuation	203
EVTR22315EMIS	Evorel  Transdermal patches  50 micrograms/24 hrs	145
FOCF106430NEMIS	Fostair  Cfc-free inhaler  200 micrograms + 6 micrograms/dose	139
RITA5273NEMIS	Risperidone  Tablets  500 micrograms	108
ESTR28299EMIS	Estraderm Mx  Transdermal patches  50 micrograms/24 hrs	99
EADR21092NEMIS	Easyhaler Beclometasone  Dry Powder Inhaler  200 micrograms/actuation	96
BECF28854NEMIS	Beclometasone And Formoterol  Cfc-free inhaler  100 micrograms + 6 micrograms/dose	95
ESTR17761NEMIS	Estradiol  Transdermal patches  50 micrograms/24 hrs	56
OXBR31953EMIS	Oxis Turbohaler  Breath-actuated inhaler  12 micrograms/dose, 60 dose	50
EKDR76095NEMIS	Eklira Genuair  Dry Powder Inhaler  322 micrograms/dose	42
BECF17549NEMIS	Beclometasone  Cfc-free inhaler  100 micrograms/actuation	34
BUDR18592NEMIS	Budesonide And Formoterol  Dry Powder Inhaler  200 micrograms + 6 micrograms/actuation	28
BEIN17538NEMIS	Beclometasone  Inhaler  100 micrograms/actuation	22
BUBR34630EMIS	Budesonide  Breath-Actuated Dry Powder Inhaler  400 micrograms/dose	22
ESTR17759NEMIS	Estradiol  Transdermal patches  25 micrograms/24 hrs	22
EPIN27256EMIS	Epipen  Solution for injection  300 micrograms/0.3 ml auto-injector	18
EADR21824NEMIS	Easyhaler Budesonide  Dry Powder Inhaler  100 micrograms/actuation	17
EADR21825NEMIS	Easyhaler Budesonide  Dry Powder Inhaler  200 micrograms/actuation	15
BECF17548NEMIS	Beclometasone  Cfc-free inhaler  50 micrograms/actuation	14
BUDR21822NEMIS	Budesonide  Dry Powder Inhaler  400 micrograms/actuation	14
ENCU114458NEMIS	Enstilar  Cutaneous Foam  50 micrograms + 500 micrograms/gram	11
BUCF33455NEMIS	Budesonide  Cfc-free inhaler  200 micrograms/dose	10
BUIN40206NEMIS	Budelin Novolizer  Inhalation Powder With Device  200 micrograms/dose	10
ETTA18971NEMIS	Ethinylestradiol And Levonorgestrel  Tablets  30 micrograms + 150 micrograms	10
BUTU10005BRIDL	Budesonide  Turbohaler  200 micrograms/dose	9
BUIN19789NEMIS	Budesonide  Inhalation Cartridge Refill  200 micrograms/dose, 100 doses	8
ENPR27292EMIS	Engerix B  Prefilled syringe  20 micrograms/1 ml	8
ESTR19389NEMIS	Estradot  Transdermal patches  37.5 micrograms/24 hrs	8
CICF33575NEMIS	Ciclesonide  Cfc-free inhaler  160 micrograms/actuation	7
BEIN17525NEMIS	Beclometasone  Inhaler  250 micrograms/actuation	5
OLSO90843NEMIS	Olodaterol  Inhalation Solution Cartridge With Device  2.5 micrograms/dose	5
BEIN17537NEMIS	Beclometasone  Inhaler  200 micrograms/actuation	4
BEDR93316NEMIS	Beclometasone And Formoterol  Dry Powder Inhaler  100 micrograms + 6 micrograms/dose	3
BEFO114450NEMIS	Betamethasone Dipropionate And Calcipotriol  Foam  500 micrograms + 50 micrograms/gram	3
DIEL10376BRIDL	Digoxin  Elixir  50 micrograms/ml	3
ESPA8673EGTON	Estraderm Tts  Transdermal patches  50 micrograms/24 hrs	3
ESTR19390NEMIS	Estradot  Transdermal patches  50 micrograms/24 hrs	3
EMSO86729NEMIS	Emerade  Solution for injection  300 micrograms/0.3 ml auto-injector	2
ESPE46850NEMIS	Estradiol  Pessaries  10 micrograms	2
ETSH26228NEMIS	Etrivex  Shampoo  500 micrograms/gram	2
BEBR17526NEMIS	Beclometasone  Breath-actuated inhaler  250 micrograms/actuation	1
BEBR17528NEMIS	Beclometasone  Breath-actuated inhaler  100 micrograms/actuation	1
BEBR17550NEMIS	Beclometasone  Breath-Actuated Inhaler (Cfc-Free)  50 micrograms/actuation	1
BEIN34109EMIS	Beclazone 200  Inhaler  200 micrograms/puff	1
BUDR21821NEMIS	Budesonide  Dry Powder Inhaler  200 micrograms/actuation	1
EADR21826NEMIS	Easyhaler Budesonide  Dry Powder Inhaler  400 micrograms/actuation	1
ENPR14265NEMIS	Engerix B  Pre-Filled Syringe  10 micrograms/0.5 ml	1
ESPA8672EGTON	Estraderm Tts  Transdermal patches  25 micrograms/24 hrs	1
FLTA17662NEMIS	Flupentixol  Tablets  500 micrograms	1
FODR106375NEMIS	Fostair Nexthaler  Dry Powder Inhaler  200 micrograms + 6 micrograms/dose	1
DITA905	Digoxin  Tablets  125 micrograms	3949
DITA908	Digoxin  Tablets  62.5 micrograms	2100
CLTA654	Clonazepam  Tablets  500 micrograms	893
DITA906	Digoxin  Tablets  250 micrograms	255
BETA345	Betamethasone Sodium Phosphate  Soluble tablets  Sugar Free 500 micrograms	8
BEGE33326NEMIS	Betamethasone Dipropionate And Calcipotriol  Gel  0.05 % + 50 micrograms/gram	49
DIGE25688EMIS	Diclofenac Diethylammonium  Gel  1.16 %	701
ORGE9595EMIS	Oruvail  Gel  2.5 %	36
DIGE10794NEMIS	Diclofenac Sodium  Gel  3 %	28
OISH19833EMIS	Oilatum  Shower gel  70 %	14
OEGE26580EMIS	Oestrogel  Gel  0.06 % pump-pack	10
OPDI19773NEMIS	Opus Absorbagel  Discharge Solidifying Sachets for Stoma Bag  9900	8
BEGE19510NEMIS	Benzoyl Peroxide And Clindamycin  Gel  5 % + 1 %	7
ESGE17750NEMIS	Estradiol  Gel  0.06 %	6
BAPR19955EMIS	Bard Biocath Hydrogel Coated  Prefilled female catheter  Aquamatic, 14 ch, D2268	5
DIGE89384NEMIS	Diclofenac Diethylammonium  Gel  2.32 %	4
OISH40662NEMIS	Oilatum  Shower gel  fragrance-free 70 %	4
BIMO13823NEMIS	Bioxtra  Moisturising Gel  	3
BACA10733BRIDL	Bard Biocath Hydrogel Coated  Prefilled male catheter  Aquamatic, 14 ch, D2264	2
BACA19978EMIS	Bard Biocath Hydrogel Coated  Catheter (male)  14 ch, 30 ml, D2266	2
BOGE20884NEMIS	Bonjela Cool Mint  Gel  8.7 %	2
BAPR19962EMIS	Bard Biocath Hydrogel Coated  Prefilled male catheter  Aquamatic, 12 ch, D2264	1
BAVA36990NEMIS	Balance Activ Bv  Vaginal gel  	1
BEAQ9177HILLI	Benzoyl Peroxide  Aquagel  2.5 %	1
BEDE35109NEMIS	Benzocaine  Dental gel  Sugar Free 10 %	1
EPGE42895NEMIS	Epiduo  Gel  0.1 % + 2.5 %	1
BOGE393	Bonjela  Gel  8.7 %	8
DICR8864BRIDL	Diprobase  Cream  	692
EPCR34485NEMIS	Epaderm  Cream  	170
BACR30474EMIS	Balneum Plus  Cream  	148
OICR6348NEMIS	Oilatum  Cream  	138
E4CR4770NEMIS	E45 Itch Relief  Cream  	101
BECR20606EMIS	Betamethasone Valerate  Cream  0.025 %	65
EMCR9006EMIS	Emla  Cream  5 %	63
BECR19810NEMIS	Betamethasone Dipropionate And Clotrimazole  Cream  0.064 % + 1 %	56
DICR19497NEMIS	Dimeticone And Benzalkonium Chloride  Cream  22 % + 0.1 %	44
BACREGTON6195	Balmosa  Cream  	39
ELCR22373EMIS	Elocon  Cream  0.1 %	25
DICR9302BRIDL	Dithrocream  Cream  0.5 %	21
BECR19489NEMIS	Betamethasone Valerate And Neomycin  Cream  0.1 % + 0.5 %	16
BECR19371NEMIS	Betamethasone Valerate And Clioquinol  Cream  0.1 % + 3 %	8
DICR15437NEMIS	Diltiazem Hydrochloride  Cream  2 %	5
ECCR42219NEMIS	Eczmol  Cream  1 %	5
EUCR27831NEMIS	Eumocream  Cream  	5
BACR3559NEMIS	Bactroban  Cream  2 %	4
EMPR2911NEMIS	Emla  Premedication pack cream  5 %	4
EUCR32812EMIS	Eucerin  Cream  5 %	4
EUCR11329NEMIS	Eurax Hc  Cream  	3
OICR15398NEMIS	Oilatum  Cream (Pump Dispenser)  500 ml	3
EUCR34330EMIS	Eucerin  Cream  10 %	2
BACR39610NEMIS	Balneum  Cream  	1
BECR4224NEMIS	Betamethasone  Cream  0.05 % (as dipropionate)	1
DIOI9415HILLI	Diflucortolone Valerate  Oily cream  0.3 %	1
DIOI9490EMIS	Diflucortolone Valerate  Oily cream  0.1 %	1
E4SH13247NEMIS	E45  Shower Cream  	1
OICR6523NEMIS	Oilatum Junior  Cream  	1
BECR356	Betnovate  Cream  0.1 %	200
BECR346	Betamethasone Valerate  Cream  0.1 %	165
DICR895	Difflam  Cream  3 %	90
BECR322	Benzydamine Hydrochloride  Cream  3 %	72
BECR361	Betnovate-N  Cream  	35
BECR359	Betnovate-C  Cream  	3
DICR951	Dithranol  Cream  0.1 %	2
BENAEGTON7181	Beconase  Aqueous nasal spray  50 micrograms/dose	1028
BEAQ17586NEMIS	Beclometasone  Aqueous nasal spray  50 micrograms/actuation	174
BUAQ17457NEMIS	Budesonide  Aqueous nasal spray  64 micrograms/dose	72
BIGE116601NEMIS	Bioxtra Dry Mouth  Gel Mouthspray  	4
BIGE22838NEMIS	Bioxtra  Gel Mouthspray  	1
MOSP34931NEMIS	Mobigel  Spray  4 %	1
OTSP9659BRIDL	Otomize  Spray  	417
EAEA1278NEMIS	Earcalm  Ear Spray  2 %	27
ELAE9460HILLI	Eludril  Aerosol spray  	2
BDNE958NEMIS	Bd-Microfine +  Needles for insulin pens  8 mm/31 gauge	278
BDNE110065NEMIS	Bd Viva  Needles for insulin pens  4 mm/32 gauge	165
BDNE672NEMIS	Bd-Microfine +  Needles for insulin pens  5 mm/31 gauge	138
BDLA33783EMIS	Bd-Microfine +  Lancets  type a, 0.30 mm/30 gauge	71
BDNE81511NEMIS	Bd Micro-Fine Ultra  Needles for insulin pens  4 mm/32 gauge	53
OMLA79099NEMIS	Omnican Lance Soft  Lancets  0.30 mm/30 gauge	42
OMNE52361NEMIS	Omnican Fine  Needles for insulin pens  6 mm/31 gauge	35
OMNE82091NEMIS	Omnican Fine  Needles for insulin pens  4 mm/31 gauge	26
OMNE52362NEMIS	Omnican Fine  Needles for insulin pens  8 mm/31 gauge	20
BDLA20391NEMIS	Bd-Microfine +  Lancets  type a, 0.20 mm/33 gauge	12
BDNE32444EMIS	Bd-Microfine +  Needles for insulin pens  12.7 mm/29 gauge	12
ONLA12841NEMIS	Onetouch Ultrasoft  Lancets  type a, 0.4 mm/28 gauge	6
ONLA36924NEMIS	Onetouch Comfort  Lancets  0.20 mm/33 gauge	5
OMNE121662NEMIS	Omnican Fine  Needles for insulin pens  5 mm/31 gauge	4
BDNE110067NEMIS	Bd Viva  Needles for insulin pens  8 mm/31 gauge	3
BDNE110066NEMIS	Bd Viva  Needles for insulin pens  5 mm/31 gauge	2
BGLA52366NEMIS	Bgstar Ultra-Thin  Lancets  0.20 mm/33 gauge	2
ETSU5216NEMIS	Ethicon Non Absorbable  Sutures  W319, 1.5 gauge, 45 cm, 19 mm needle curved	2
ONLA82093NEMIS	Onetouch Delica  Lancets  0.32 mm/30 gauge	2
BDNE52673NEMIS	Bd Autoshield Duo  Needles for insulin pens  5 mm/30 gauge	1
ETSU16026NEMIS	Ethicon Polyamide Synthetic  Sutures  W1618T, 1 gauge, 45 cm, 19 mm P needle curved	1
OMNE52363NEMIS	Omnican Fine  Needles for insulin pens  10 mm/30 gauge	1
ENLI29149NEMIS	Ensure Plus  Liquid Feed (Mixed Flavours)  Milkshake Style	296
ENLI86021NEMIS	Ensure Compact  Liquid  	277
ENLI29143NEMIS	Ensure Plus  Liquid feed (banana)  Milkshake Style	216
ENLI38384NEMIS	Ensure Plus  Liquid  	140
ENLI86294NEMIS	Ensure Compact  Liquid (strawberry)  	120
ENLI29138NEMIS	Ensure Plus  Liquid feed (strawberry)  Milkshake Style	98
ENLI86022NEMIS	Ensure Compact  Liquid (vanilla)  	81
ENLI29164NEMIS	Ensure Plus Juce Liquid (Mixed Flavours)	80
ENLI39012NEMIS	Ensure Plus Fibre  Liquid feed  	68
ENLI29141NEMIS	Ensure Plus  Liquid Feed (Vanilla)  Milkshake Style	67
ENLI29167NEMIS	Ensure Plus Fibre  Liquid Feed (Mixed Flavours)  	42
ENLI36414NEMIS	Ensure Plus Juce  Liquid  	32
ENLI39013NEMIS	Ensure Twocal  Liquid feed  	30
ENLI86293NEMIS	Ensure Compact  Liquid (Banana)  	25
ENLI111774NEMIS	Ensure Plus Advance  Liquid feed (strawberry)  	24
ENLI29165NEMIS	Ensure Plus Fibre  Liquid Feed (Vanilla)  	23
ENLI30876NEMIS	Ensure Twocal Liquid feed (mixed flavours)	22
ENLI479NEMIS	Ensure  Liquid Feed (Mixed Flavours) Cans  250 ml	22
ENLI121809NEMIS	Ensure Compact  Liquid (cafe latte)  	21
ENLI29147NEMIS	Ensure Plus  Liquid Feed (Neutral)  Milkshake Style	21
ENLI89823NEMIS	Ensure Plus Advance  Liquid feed  	21
ENLI30875NEMIS	Ensure Twocal  Liquid feed (strawberry)  	20
ENLI29157NEMIS	Ensure Plus Juce  Liquid (Fruit Punch)  	17
ENLI29170NEMIS	Ensure Plus Fibre  Liquid feed (strawberry)  	14
ENLI30854NEMIS	Ensure Twocal  Liquid feed (banana)  	13
ENLI29137NEMIS	Ensure Plus  Liquid Feed (Chocolate)  Milkshake Style	12
ENLI29142NEMIS	Ensure Plus  Liquid feed (raspberry)  Milkshake Style	12
ENLI29145NEMIS	Ensure Plus  Liquid feed (fruits of the forest)  Milkshake Style	9
ENLI29156NEMIS	Ensure Plus Juce  Liquid (strawberry)  	9
ENDE39011NEMIS	Ensure Plus Creme  Dessert  	8
ENLI30872NEMIS	Ensure Twocal  Liquid Feed (Vanilla)  	8
ENLI36432NEMIS	Ensure  Liquid  	7
ENLI89830NEMIS	Ensure Plus Advance  Liquid feed (banana)  	7
ENLI10140BRIDL	Ensure Chocolate  Liquid  	6
ENLI29160NEMIS	Ensure Plus Juce  Liquid (orange)  	6
ENLI29163NEMIS	Ensure Plus Juce  Liquid (Apple)  	6
ENLI23130NEMIS	Ensure Plus Commence  Liquid feed  	5
ENLI29166NEMIS	Ensure Plus Fibre  Liquid Feed (Chocolate)  	5
ENLI29169NEMIS	Ensure Plus Fibre  Liquid feed (banana)  	4
ENLI89831NEMIS	Ensure Plus Advance  Liquid Feed (Chocolate)  	4
ENLI29159NEMIS	Ensure Plus Juce  Liquid (lemon and lime)  	3
ENLI29355NEMIS	Ensure Plus Savoury  Liquid Feed (Chicken)  	3
ENLI30874NEMIS	Ensure Twocal  Liquid Feed (Neutral)  	2
ENLI89832NEMIS	Ensure Plus Advance  Liquid Feed (Vanilla)  	2
ENDE30918NEMIS	Ensure Plus Creme  Dessert (Mixed Flavours)  	1
ENLI10146BRIDL	Ensure Vanilla  Liquid  	1
ENLI29144NEMIS	Ensure Plus  Liquid feed (orange)  Milkshake Style	1
ENLI29161NEMIS	Ensure Plus Juce  Liquid (Peach)  	1
ENLI29354NEMIS	Ensure Plus Savoury  Liquid Feed (Mushroom)  	1
ENLI8666EGTON	Ensure  Liquid feed can  250 ml	1
ENYO29150NEMIS	Ensure Plus Yoghurt Style (Mixed Flavours)	1
ENYO29151NEMIS	Ensure Plus  Yoghurt Style (Strawberry Swirl)  	1
BREY50828NEMIS	Bromfenac  Eye drops  900 micrograms/ml	2
YEEY50830NEMIS	Yellox  Eye drops  900 micrograms/ml	2
OLEA934NEMIS	Olive Oil  Ear drops  	246
OPEY33411NEMIS	Optive  Eye drops  0.5 %	167
SOEY17852NEMIS	Sodium Cromoglicate  Eye drops  2 %	100
BREY30586EMIS	Brimonidine Tartrate  Eye drops  0.2 %	90
DEEY19459NEMIS	Dexamethasone And Tobramycin  Eye drops  0.1 % + 0.3 %	36
BLEY33605NEMIS	Blink Intensive Tears  Eye drops  0.2 %	23
RAAQ26596EMIS	Rapitil  Aqueous eye drops  2 %	16
BUNE31835NEMIS	Bullen Hi-Slip Plus Hydrophilic  Nelaton catheter (male)  12ch, HS.PM4012	14
SOEY42131NEMIS	Sodium Cromoglicate  Eye drops (preservative-free)  2 %, 0.3 ml unit dose	14
EVPR109448NEMIS	Evolve Carmellose  Eye drops (preservative-free)  0.5 %	13
PREY15421NEMIS	Prednisolone Sodium Phosphate  Eye Drops Unit Dose, Preservative Free  0.5 %	12
EYEY23597EMIS	Hay-Crom  Aqueous eye drops  2 %	11
BUNE31845NEMIS	Bullen Hi-Slip Plus Hydrophilic  Nelaton catheter (female)  10ch, HS.PF2010	9
OPEY87043NEMIS	Optive Fusion  Eye drops  0.1 %	7
NEAQ26598EMIS	Nedocromil Sodium  Aqueous eye drops  2 %	5
VIEY24909EMIS	Vista-Methasone  Eye drops  0.1 %	5
OPEY73995NEMIS	Optive Plus  Eye drops  0.5 %	4
AZEY32240EMIS	Azelastine Hydrochloride  Eye drops  0.05 %	3
BUNE31808NEMIS	Bullen Hi-Slip Hydrophilic  Nelaton catheter (male)  18ch, HS.SM4018	2
LOEY29418NEMIS	Lotemax  Eye drops  0.5 %	2
OPAQ9199BRIDL	Opticrom  Aqueous eye drops  2 %	2
BEDR19448NEMIS	Betamethasone And Neomycin  Drops  0.1 % + 0.5 %	1
BLEY33606NEMIS	Blink Intensive Tears  Eye Drops Unit Dose, Preservative Free  0.2 %	1
BUNE31812NEMIS	Bullen Hi-Slip Hydrophilic  Nelaton catheter (female)  10ch, HS.SF2010	1
EVEY115020NEMIS	Evolve Ha  Eye drops (preservative-free)  0.2 %	1
OPEY1662NEMIS	Opticare Arthro 5  Eye Drop Dispenser  	1
BEDR354	Betnesol-N  Drops  	11
BEDR343	Betamethasone Sodium Phosphate  Drops  0.1 %	7
BEDR351	Betnesol  Drops  0.1 %	2
BREY413	Brolene  Eye drops  0.1 %	2
OIBA24148EMIS	Oilatum Plus  Bath emollient  	372
BABA19654EMIS	E45 Emollient  Bath oil  	46
DIEM19542EMIS	Diprobath  Emollient  	1
ONIN43608NEMIS	Onbrez Breezhaler  Inhalation Powder Capsules With Device  150 micrograms	3
BRIN117769NEMIS	Braltus  Inhalation Powder Capsules With Inhaler  10 micrograms	2
ONCA1913NEMIS	One-Alpha  Capsules  500 nanograms	177
OCCA23529NEMIS	Ocuvite Lutein  Capsules  	1
OSCA82044NEMIS	Osteocaps D3  Capsules  20,000 units	1
BISA14467NEMIS	Biotene Oralbalance  Saliva Replacement Gel  	47
BIOR116602NEMIS	Bioxtra Dry Mouth  Oral gel  	13
ORGE29896EMIS	Oralbalance  Gel  	4
ENOR85049NEMIS	Ensure Shake  Oral powder sachets  57 gram sachet	11
ENOR85505NEMIS	Ensure Shake  Oral Powder Sachets (Strawberry)  57 gram sachet	2
ENOR85503NEMIS	Ensure Shake  Oral Powder Sachets (Banana)  57 gram sachet	1
ENOR85506NEMIS	Ensure Shake  Oral Powder Sachets (Vanilla)  57 gram sachet	1
DIOR23269EMIS	Dioralyte  Oral powder (blackcurrant)  	153
DIOR51732NEMIS	Dioralyte  Oral powder (plain)  	6
ELOR27081EMIS	Electrolade  Oral powder (multiflavour)  	5
DIOR23270EMIS	Dioralyte  Oral powder (citrus)  	4
BUOR35900NEMIS	Build-up Instant Drink  Oral Powder (Strawberry)  38 grams/sachet	2
DIPO776NEMIS	Dioralyte Relief  Powder (blackcurrant)  	2
ELOR11289NEMIS	Electrolade  Oral powder (lemon and lime)  	2
ELOR27079EMIS	Electrolade  Oral powder (blackcurrant)  	2
DIPO775NEMIS	Dioralyte Relief  Powder (raspberry)  	1
BEOR323	Benzydamine Hydrochloride  Oral Rinse  Sugar Free 0.15 %	139
DIPO920	Dioralyte Oral powder	19
BEOI16714NEMIS	Betamethasone Dipropionate And Calcipotriol  Ointment  0.05 % + 50 micrograms/gram	140
EPOI29175EMIS	Epaderm  Ointment  	117
BANA10375BRIDL	Bactroban  Nasal ointment  2 %	47
BEOI20607EMIS	Betamethasone Valerate  Ointment  0.025 %	44
BEOI19372NEMIS	Betamethasone Valerate And Clioquinol  Ointment  0.1 % + 3 %	35
ELOI22374EMIS	Elocon  Ointment  0.1 %	15
BAOIEGTON8155	Bactroban  Ointment  2 %	14
EMOI19703NEMIS	Emulsifying Wax And Yellow Soft Paraffin  Ointment  30 % + 30 %	10
BEOI19375NEMIS	Betamethasone Dipropionate And Salicylic Acid  Ointment  0.05 % + 3 %	4
DIOI9416HILLI	Diflucortolone Valerate  Ointment  0.3 %	4
BEOIEGTON7920	Betadine  Ointment  10 %	2
BEOI19490NEMIS	Betamethasone Valerate And Neomycin  Ointment  0.1 % + 0.5 %	1
BEOI8753BRIDL	Betnovate-N  Ointment  	1
BEOI357	Betnovate  Ointment  0.1 %	138
BEOI347	Betamethasone Valerate  Ointment  0.1 %	92
BEOI360	Betnovate-C  Ointment  	12
ONTE12763NEMIS	Onetouch Ultra  Test strips  	137
ENSU20871NEMIS	Enzira  Suspension For Injection  0.5 ml pre-filled syringe	68
BAFL30203EMIS	Bard  Flip-flo catheter valve  bff5	65
BDDE35011EMIS	Bd Safe-Clip  Device  	55
BABA9587EMIS	Balneum Plus  Bath oil  	52
OMTE47354NEMIS	Omnitest 3  Test strips  	42
E4HA23446NEMIS	E45 Junior  Hand And Body Wash  	41
BADI18740EMIS	Bard Uriplan  Direct inlet leg bags  350 ml, d3s	40
BACO26222EMIS	Bard Uriplan  Collection bag  d8420	33
ENPO37096NEMIS	Enshake  Powder sachets  6 x 96.5 gram sachets	32
ARTA22354EMIS	Arthrotec 50  Tablets  	30
EXLO33003EMIS	Exorex  Lotion  5 % Cutaneous Emulsion (1 % prepared coal tar)	29
BGTE52394NEMIS	Bgstar  Test strips  	28
OCWA25588NEMIS	Octenisan Antimicrobial  Wash Lotion  	28
OSLI40667NEMIS	Osmolite Hp  Liquid  	28
DITA18102EMIS	Didronel Pmo  Tablets  	26
EXDR22210NEMIS	Excilon Amd Iv Sponge  Tracheostomy Dressing Sterile  7089, 5 cm x 5 cm	22
ELTA30208EMIS	Elleste Duet 1 Mg  Tablets  	21
LIME23717NEMIS	Lidocaine  Medicated Plaster  5 %	17
BACO27397EMIS	Bard Uriplan  Collection bag  2 litres, d8420	16
E4LO33886EMIS	E45  Lotion  	16
LOOP19552EMIS	Lodoxamide Trometamol  Ophthalmic solution  0.1 %	15
ONST102167NEMIS	Onetouch Select Plus  Test strips  	15
OSLI35888NEMIS	Osmolite 1.5Kcal  Liquid feed ready-to-hang  Tube Feed	15
PITA23833EMIS	Piracetam  Tablets  1.2 grams	14
BA4 18738EMIS	Bard Uriplan  10 cm inlet tube leg bag  500 ml, d5m	11
OISH11313NEMIS	Oilatum Scalp Treatment  Shampoo  	11
BDDI35110EMIS	Bd-Microfine +  Disposable syringe  0.3 ml, 0.30 x 8 mm needle	10
BAFO28732EMIS	Bard All Silicone  Foley catheter (male)  10 ml, 14 ch, d1658	9
BALE32859EMIS	Bard Urisleeve  Leg Bag Holder  medium, 150121	9
OPDR38762NEMIS	Opsite Post-Op  Dressing  15.5 cm x 8.5 cm	9
BLEY45018NEMIS	Blephasol  Lotion  	8
ENPO21353NEMIS	Enshake  Powder (Vanilla) Sachets  6 x 96.5 gram sachets	8
OFOP23567EMIS	Ofloxacin  Ophthalmic solution  0.3 %	8
OIBA26861NEMIS	Oilatum  Bath Formula  	8
ORPOEGTON6036	Orahesive  Powder  	8
BALE32860EMIS	Bard Urisleeve  Leg Bag Holder  small, 150111	7
BUAD25522NEMIS	Bullen Trio Niltac Sting Free Adhesive remover TR101	7
EAFO23148NEMIS	Eakin Wound Pouches  Fold And Tuck Closure  Large, 839252	7
